"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,-59.03515625,-286.87109375,-106.676347701,39.208114699
0.333203125,-101.74609375,-267.44921875,-84.1433937354,14.0597795922
0.666536458333,-116.98828125,-263.578125,-67.1644317094,-19.0093698392
0.999869791667,-140.640625,-296.37890625,-66.9126052544,-9.45824274957
1.333203125,-166.7421875,-288.8203125,-58.6787109375,53.9537760417
1.66653645833,-169.66796875,-255.12109375,-76.6067708333,107.682617188
1.99986979167,-210.42578125,-210.1796875,-108.352864583,138.731770833
2.333203125,-264.33203125,-151.51953125,-81.8219401042,132.952473958
2.66653645833,-272.04296875,-113.73046875,-34.2392578125,98.0738932292
2.99986979167,-272.99609375,-89.28125,-16.8050130208,59.0973307292
3.333203125,-284.06640625,-58.953125,-0.115234375,-19.4736328125
3.66653645833,-281.640625,-92.05859375,32.1982421875,-114.401041667
3.99986979167,-251.94921875,-172.390625,35.8287760417,-107.184895833
4.333203125,-248.1953125,-184.2265625,13.2386067708,-38.5364583333
4.66653645833,-249.12109375,-180.76953125,7.25618489583,-12.2281901042
4.99986979167,-248.89453125,-180.5390625,29.4215494792,-25.2018229167
5.333203125,-248.89453125,-180.5390625,112.1015625,-86.1409505208
5.66653645833,-197.4375,-247.5390625,249.510742188,-118.307291667
5.99986979167,-53.203125,-286.94921875,302.998697917,-73.3277994792
6.333203125,46.15625,-296.37890625,240.670572917,-16.7825520833
6.66653645833,98.6328125,-295.24609375,188.559570313,44.6184895833
6.99986979167,152.1640625,-276.79296875,183.058919271,126.425455729
7.333203125,223.82421875,-219.49609375,170.948893229,211.033854167
7.66653645833,280.125,-90.75,117.809570312,162.391927083
7.99986979167,314.875,-68.48046875,28.0026041667,-4.78743489583
8.333203125,297.16796875,-118.65625,-55.8639322917,-109.816731771
8.66653645833,257.87890625,-180.09375,-81.0172526042,-104.568359375
8.99986979167,232.64453125,-201.29296875,-68.5397135417,-48.4983723958
9.333203125,208.86328125,-201.1484375,-40.3688151042,-15.4723307292
9.66653645833,206.6640625,-203.8359375,-18.5875651042,-9.31510416667
9.99986979167,205.05078125,-205.4296875,-28.2516276042,-16.6438802083
10.333203125,205.05078125,-205.4296875,-87.1946614583,-46.8883463542
10.6665364583,151.921875,-240.93359375,-160.537109375,-57.9931640625
10.9998697917,78.96875,-267.3203125,-178.643880208,-0.3046875
11.333203125,23.7734375,-253.8203125,-160.683268229,95.7877604167
11.6665364583,-41.2109375,-197.56640625,-98.9912109375,175.373372396
11.9998697917,-46.5546875,-116.6953125,-25.5393880208,195.06640625
12.333203125,-46.1015625,-56.4765625,13.1982421875,176.844401042
12.6665364583,-27.80859375,-3.109375,19.0862630208,163.093424479
12.9998697917,-28.7421875,51.53515625,6.30338541667,147.341471354
13.333203125,-23.96875,98.734375,-6.5908203125,120.174804688
13.6665364583,-36.16796875,141.16015625,-11.3095703125,67.9889322917
13.9998697917,-35.2734375,141.8984375,-4.8505859375,22.1207682292
14.333203125,-35.96484375,143.97265625,-6.03841145833,9.2744140625
14.6665364583,-40.11328125,146.96875,-4.89973958333,3.99869791667
14.9998697917,-40.34375,146.96875,-1.69010416667,1.17154947917
15.333203125,-40.34375,146.96875,-0.422526041667,0.249674479167
15.6665364583,-40.34375,146.96875,-0.693033854167,1.40950520833
15.9998697917,-40.34375,146.96875,-2.67643229167,6.42154947917
16.333203125,-40.34375,146.96875,-11.5335286458,21.0087890625
16.6665364583,-48.4296875,163.8828125,-19.126953125,29.0963541667
16.9998697917,-48.203125,173.28515625,-35.8977864583,19.3671875
17.333203125,-82.39453125,167.8984375,-25.8138020833,28.9059244792
17.6665364583,-72.98046875,196.48828125,4.19010416667,27.3157552083
17.9998697917,-67.5234375,194.67578125,4.52180989583,4.962890625
18.333203125,-69.83203125,192.6328125,2.72786458333,-0.219401041667
18.6665364583,-67.1015625,192.6328125,1.576171875,-0.145833333333
18.9998697917,-68.15625,193.3359375,-0.198567708333,0.3271484375
19.333203125,-67.9296875,193.109375,0.0445963541667,-0.0865885416667
19.6665364583,-67.9296875,193.109375,-0.262044270833,-0.262369791667
19.9998697917,-68.16015625,192.8828125,-0.230794270833,-0.264322916667
20.333203125,-68.16015625,192.8828125,-0.0768229166667,-0.0755208333333
20.6665364583,-68.16015625,192.8828125,-0.0192057291667,-0.0188802083333
20.9998697917,-68.16015625,192.8828125,0.151041666667,-0.0944010416667
21.333203125,-68.16015625,192.8828125,0.604166666667,-0.377604166667
21.6665364583,-68.16015625,192.8828125,1.96354166667,-1.22721354167
21.9998697917,-66.34765625,191.75,1.96354166667,-1.22721354167
22.333203125,-66.34765625,191.75,0.604166666667,-0.377604166667
22.6665364583,-66.34765625,191.75,0.151041666667,-0.0944010416667
22.9998697917,-66.34765625,191.75,0,0
23.333203125,-66.34765625,191.75,0,0
23.6665364583,-66.34765625,191.75,0,0
23.9998697917,-66.34765625,191.75,0,0
24.333203125,-66.34765625,191.75,0,0
24.6665364583,-66.34765625,191.75,0,0
24.933203125,-66.34765625,191.75,0,0
25.333203125,-66.34765625,191.75,0,0
25.6665364583,-66.34765625,191.75,-0.1162109375,-0.0602213541667
25.9998697917,-66.34765625,191.75,-0.461095010081,-0.238942792339
26.2998697917,-66.34765625,191.75,-1.5107421875,-0.782877604167
26.6665364583,-67.7421875,191.02734375,-1.4609375,-0.757068452381
26.9998697917,-67.7421875,191.02734375,-0.456340510671,-0.236478976118
27.333203125,-67.7421875,191.02734375,-0.114305840164,-0.0592341188525
27.6665364583,-67.7421875,191.02734375,0,0
27.9998697917,-67.7421875,191.02734375,0,0
28.333203125,-67.7421875,191.02734375,0,0
28.6665364583,-67.7421875,191.02734375,0,0
28.9998697917,-67.7421875,191.02734375,0,0
29.333203125,-67.7421875,191.02734375,0.838216145833,0.810546875
29.6665364583,-67.7421875,191.02734375,3.35286458333,3.2421875
29.9998697917,-67.7421875,191.02734375,8.51399739583,8.4130859375
30.333203125,-57.68359375,200.75390625,2.63118489583,0.858072916667
30.6665364583,-57.68359375,200.75390625,-22.1481119792,-29.46484375
30.9998697917,-86.27734375,175.265625,-12.0143229167,-43.7835286458
31.333203125,-71.08984375,161.0703125,18.0481770833,-29.6432291667
31.6665364583,-66.1328125,156.71484375,32.2412109375,-12.4222005208
31.9998697917,-65.91015625,154.89453125,74.671875,1.0107421875
32.333203125,2.2734375,149.5703125,63.4567057292,22.2041015625
32.6665364583,16.94140625,184.35546875,-46.4658203125,-3.40397135417
32.9998697917,-69.96484375,181.83984375,-49.0677083333,-124.395833333
33.333203125,-43.77734375,86.99609375,27.6998697917,-220.265625
33.6665364583,-39.9765625,29.13671875,85.162109375,-294.466145833
33.9998697917,18.49609375,-100.3203125,121.124023438,-365.157552083
34.333203125,60.11328125,-265.26171875,80.357421875,-285.497070313
34.6665364583,88.19140625,-322.0859375,-3.54329427083,-108.868489583
34.9998697917,86.80859375,-323.21875,-130.520833333,39.2080078125
35.333203125,-87.1015625,-286.01171875,-20.5647786458,142.400390625
35.6665364583,-5.9609375,-198.59765625,285.165364583,144.187825521
35.9998697917,228.10546875,-154.484375,275.444661458,46.3232421875
36.333203125,228.51953125,-180.8515625,113.439127604,-24.4615885417
36.6665364583,248.1796875,-202.6796875,61.4319661458,-12.4733072917
36.9998697917,275.9765625,-177.05078125,5.27994791667,-19.2744140625
37.333203125,247.6875,-210.43359375,-23.4300130208,-33.2164713542
37.6665364583,245.36328125,-214.63671875,-16.9794921875,-10.49609375
37.9998697917,245.36328125,-214.63671875,-29.8092447917,4.24576822917
38.333203125,231.328125,-205.3046875,-53.7418619792,1.78255208333
38.6665364583,199.2890625,-206.04296875,-53.6637369792,-23.0198567708
38.9998697917,189.77734375,-223.26171875,-37.6057942708,-40.9384765625
39.333203125,184.2109375,-240.51171875,-43.3098958333,-37.7161458333
39.6665364583,158.8125,-251.63671875,-39.759765625,-21.6920572917
39.9998697917,147.34375,-256.68359375,-9.16178385417,1.99479166667
40.333203125,146.12890625,-250.6015625,33.9837239583,29.0201822917
40.6665364583,184.921875,-238.78125,31.322265625,59.8434244792
40.9998697917,191.85546875,-213.83203125,-39.2340494792,95.1927083333
41.333203125,154.68359375,-166.8046875,-97.4274088542,104.611002604
41.6665364583,101.12109375,-134.078125,-83.1611328125,85.2952473958
41.9998697917,83.703125,-111.73046875,-22.7255859375,67.6031901042
42.333203125,97.265625,-94.20703125,11.3258463542,63.8984375
42.6665364583,109.58203125,-69.78125,-6.64225260417,68.4205729167
42.9998697917,89.15234375,-52.50390625,-28.2757161458,82.6276041667
43.333203125,93.58984375,-22.2890625,-57.5546875,108.012044271
43.6665364583,64.7734375,43.31640625,-115.550130208,67.3121744792
43.9998697917,-14.19921875,39.80078125,-94.5579427083,-19.8219401042
44.333203125,-2.63671875,10.80859375,-61.0745442708,-58.1842447917
44.6665364583,-31.55078125,-10.78125,-82.533203125,-53.5478515625
44.9998697917,-63.4296875,-32.3203125,-87.8958333333,-11.8723958333
45.333203125,-98.53125,-38.3515625,-74.5729166667,84.3912760417
45.6665364583,-125.4921875,23.359375,-23.5416666667,171.150390625
45.9998697917,-97.55859375,107.8125,-12.0240885417,151.643229167
46.333203125,-140.92578125,166.60546875,8.38736979167,6.13736979167
46.6665364583,-90.31640625,130.76953125,15.9091796875,-185.926432292
46.9998697917,-93.4609375,-9.1796875,-61.9361979167,-235.904622396
47.333203125,-159.15625,-73.69921875,-63.0546875,-149.419270833
47.6665364583,-176.97265625,-81.15625,40.0084635417,-126.696614583
47.9998697917,-113.09375,-139.5390625,97.998046875,-152.872070313
48.333203125,-77.64453125,-167.7109375,69.3193359375,-217.335286458
48.6665364583,-72.2265625,-321.4375,50.0270182292,-181.314127604
48.9998697917,-72.2265625,-321.4375,102.40234375,-55.1507161458
49.333203125,-9.3671875,-323.79296875,171.941210938,-14.75234375
49.6665364583,63.41015625,-320.625,193.389322917,1.80436197917
49.9998697917,126.8359375,-321.40625,196.417317708,0.0266927083334
