"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,-441.69921875,-44.8828125,12.0798145683,-50.658933717
0.326171875,-447.140625,-54.55078125,34.7147851068,-73.3855212768
0.659505208333,-410.16015625,-91.6640625,32.0796554935,-87.3617520177
0.992903645833,-415.0078125,-117.52734375,11.4120892446,-91.7816899652
1.326171875,-427.03515625,-152.546875,60.0437555225,-96.1687907744
1.65950520833,-398.91796875,-175.046875,174.953371267,-112.231587773
1.99290364583,-298.05859375,-236.1484375,261.925455729,-100.071614583
2.326171875,-207.7265625,-257.41796875,296.633755022,-35.3172344666
2.65950520833,-93.26953125,-266.41015625,300.025346679,57.78655987
2.99290364583,6.078125,-235.45703125,257.113606771,192.126953125
3.326171875,74.359375,-122.75,212.307476129,280.130947901
3.65950520833,160.0234375,-19.44921875,128.459181449,281.729374801
3.99290364583,175.39453125,62.52734375,9.87727864583,268.397460938
4.326171875,148.3671875,173.12890625,-54.690948663,207.310779069
4.65950520833,112.125,221.19140625,-41.4400659177,93.4053417848
4.99290364583,116.21484375,220.28515625,-5.98567708333,19.3173828125
5.326171875,118.96875,217.6953125,4.82902146541,-6.52818198744
5.65950520833,121.37109375,211.5234375,7.38916707382,-11.0178928176
5.99290364583,122.9609375,210.6171875,8.86588541667,-11.5901692708
6.326171875,127.3984375,205.375,10.0444359483,-15.3998839136
6.65950520833,131.31640625,197.40625,6.59588210097,-10.7154376698
6.99290364583,131.31640625,197.40625,3.88704427083,-3.56770833333
7.326171875,134.4609375,194.15625,0.343385088389,5.13618297769
7.65950520833,130.76171875,204.03515625,-0.899109192758,4.51575638569
7.99290364583,131.21484375,201.07421875,5.19010416667,-6.98307291667
8.326171875,136.81640625,196.33984375,4.97233232436,-10.4258817586
8.65950520833,133.23828125,192.5390625,7.06802892694,-8.94898929777
8.99290364583,142.7734375,187.71875,5.02669270833,1.21028645833
9.326171875,139.8828125,194.81640625,-5.24693082213,7.40192640384
9.65950520833,135.96484375,193.00390625,-6.99679236287,11.3721160426
9.99290364583,134.2890625,205.109375,-7.7412109375,7.33203125
10.326171875,131.984375,199.8828125,-21.3214591191,1.45592913401
10.6595052083,131.984375,199.8828125,-75.916841583,18.6343406808
10.9929036458,109.3984375,198.59375,-202.411132813,69.1064453125
11.326171875,-15.53515625,242.5625,-291.275888807,113.436374595
11.6595052083,-122.2890625,315.8515625,-270.271737879,34.3090930922
11.9929036458,-204.1484375,302.36328125,-198.564127604,-146.3984375
12.326171875,-269.5859375,198.26953125,-66.0949955034,-272.727089727
12.6595052083,-276.9140625,74.41015625,134.05946662,-260.729951846
12.9929036458,-163.5625,4.5078125,280.812174479,-170.560872396
13.326171875,-29.90625,-44.3984375,261.796429082,-59.1887901875
13.6595052083,9.5546875,-28.88671875,221.970068553,32.9753034497
13.9929036458,105.10546875,6.37890625,199.666015625,44.5442708333
14.326171875,167.76171875,-7.33203125,115.615799082,63.550120077
14.6595052083,177.71875,48.68359375,43.5620464596,70.6954131392
14.9929036458,185.69140625,65.80078125,0.0898437500001,9.81184895833
15.326171875,175.515625,53.375,-27.8182989077,-43.4210172229
15.6595052083,159.70703125,20.33203125,-30.9406317508,-48.7220315273
15.9929036458,150.17578125,-1.09375,-20.6136067708,13.0732421875
16.326171875,150.44921875,30.19921875,-21.6526825856,78.1193270102
16.6595052083,140.19921875,61,-36.1121982113,114.577428331
16.9929036458,127.59765625,111,-53.6471354167,131.100260417
17.326171875,101.8046875,159.91796875,-65.3612622464,112.232359253
17.6595052083,77.125,185.06640625,-59.3763410772,92.1552736075
17.9929036458,71.93359375,217.24609375,-75.7776692708,80.8678385417
18.326171875,25.19921875,241.609375,-89.1480163948,64.5960452114
18.6595052083,3.70703125,259.11328125,-82.0647253262,52.7497322826
18.9929036458,-20.109375,274.94140625,-94.1656901042,44.6490885417
19.326171875,-62.18359375,288.6171875,-90.681202787,38.8824826656
19.6595052083,-97.54296875,303.98046875,-43.5985913157,26.6100763972
19.9929036458,-96.8125,300.38671875,15.3193359375,28.6204427083
20.326171875,-64.4609375,323.0078125,13.8805034791,27.8914001222
20.6595052083,-74.78515625,328.3125,-24.6578440559,3.50483080938
20.9929036458,-96.2109375,328.0546875,-24.6266276042,-27.94140625
21.326171875,-97.87890625,299.73828125,0.469967121359,-34.3698105836
21.6595052083,-104.515625,302.56640625,50.4796482742,-31.4952428069
21.9929036458,-64.32421875,283.58203125,97.0100911458,-38.1614583333
22.326171875,-15.453125,274.171875,79.5921540318,-36.9684293373
22.6595052083,-13.27734375,257.41796875,63.1347205123,-29.5021921837
22.9929036458,12.54296875,252.62890625,77.7555338542,-15.2975260417
23.326171875,46.6015625,241.421875,73.3913167407,9.95168309863
23.6595052083,68.3671875,268.89453125,48.8901941636,7.19153332393
23.9929036458,78.37109375,259.80859375,21.4534505208,-31.1217447917
24.326171875,87.84375,240.015625,-18.5957278609,-45.9299538404
24.6595052083,61.59375,216.09375,-45.3392648054,-23.80043395
24.9929036458,49.71875,215.0625,-49.2490234375,26.6735026042
25.326171875,30.40625,245.22265625,-54.8594573289,49.106027205
25.6595052083,11.2890625,251.60546875,-55.1926274904,55.9253537362
25.9929036458,-2.265625,282.9609375,-61.2197265625,55.9482421875
26.326171875,-33,299.77734375,-52.2605814851,24.4483173026
