"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,106.1640625,-301.8203125,0,0
0.333268229167,106.1640625,-301.8203125,0,0
0.666666666667,106.1640625,-301.8203125,0,0
1,106.1640625,-301.8203125,0,0
1.33326822917,106.1640625,-301.8203125,0,0
1.66666666667,106.1640625,-301.8203125,0,0
2,106.1640625,-301.8203125,0,0
2.33326822917,106.1640625,-301.8203125,0,0
2.66666666667,106.1640625,-301.8203125,-0.0781275863211,-0.096335286523
2.96666666667,106.1640625,-301.8203125,-0.314503205128,-0.387798443611
3.33326822917,106.1640625,-301.8203125,-1.00467489853,-1.23881523505
3.63326822917,105.2421875,-302.95703125,-1.03070710467,-1.2709142689
3.96666666667,105.2421875,-302.95703125,-0.368614373161,-0.365428948613
4.33326822917,105.2421875,-302.95703125,-0.303067741951,-0.0180334013868
4.63326822917,105.2421875,-302.95703125,-0.762708862025,0.233571791327
5,104.55078125,-302.72265625,-0.799882628926,0.170004112775
5.33326822917,104.55078125,-302.72265625,-1.52984987121,-0.394578977963
5.66666666667,104.3203125,-302.94921875,-6.61661658372,-1.70801767186
6,104.3203125,-302.94921875,-22.0050138338,-5.00886681242
6.33326822917,91.65625,-305.67578125,-40.2239583333,-9.05403645833
6.66666666667,65.95703125,-312.71484375,-27.7902008683,-3.47674913967
7,70.25390625,-308.3125,-10.8367086149,3.2985907765
7.33326822917,69.33203125,-307.390625,-24.5048828125,5.56510416667
7.66666666667,68.41015625,-307.6171875,-82.6231075092,14.4241926101
8,13.63671875,-305.46484375,-146.749193798,42.6104099322
8.33326822917,-28.84765625,-266.90234375,-204.876627604,41.5774739583
8.66666666667,-126.9921875,-281.19140625,-237.281262213,46.9894134879
9,-226.38671875,-242.05078125,-160.299221126,64.6744566112
9.33326822917,-239.13671875,-223.62109375,-65.037109375,45.57421875
9.66666666667,-242.9296875,-212.9296875,-37.2135999066,30.1892884421
10,-258.33984375,-209.46484375,-33.6776401219,30.3577178105
10.3332682292,-266.36328125,-197.28125,-34.7145182292,44.7408854167
10.6666666667,-280.80859375,-180.62890625,-35.9746606383,59.9245886625
11,-294.5859375,-147.578125,-25.1978260237,47.9855378834
11.3332682292,-298.5234375,-142.30859375,-11.6324869792,19.5016276042
11.6666666667,-300.08984375,-142.59765625,-3.72096261747,10.6503963283
12,-300.08984375,-142.59765625,0.573689407496,21.068684495
12.3332682292,-298.57421875,-122.1796875,0.845052083333,17.5764973958
12.6666666667,-299.3984375,-126.421875,0.786160135053,6.32894460058
13,-298.71875,-126.19140625,-0.210950032912,22.9858273299
13.3332682292,-298.71875,-126.19140625,-4.81412760417,85.0035807292
13.6666666667,-293.46875,-79.76953125,-26.3425973345,175.518162372
14,-324.0546875,3.93359375,-22.7601834158,228.093791005
14.3332682292,-329.625,89,37.6949869792,227.809570313
14.6666666667,-294.78515625,163.1796875,89.3541662884,196.926892779
15,-258.203125,223.7890625,101.822772517,147.079108314
15.3332682292,-215.6015625,263.6328125,70.8876953125,84.1044921875
15.6666666667,-189.328125,291.234375,-19.6540119766,-7.61210446608
16,-235.7734375,258.04296875,-87.9819204326,-92.8800955684
16.3332682292,-275.8828125,206.65625,-78.5426432292,-111.268229167
16.6666666667,-296.0625,173.5390625,-39.8116997634,-91.5441380828
17,-293.546875,140.7734375,-17.8533096666,-52.5950278837
17.3332682292,-302.85546875,140.33203125,-11.8785807292,-18.7998046875
17.6666666667,-306.8515625,138.7421875,3.5681144062,-13.9661203259
18,-295.96875,129.52734375,6.43672812295,-8.54828187071
18.3332682292,-298.96484375,131.375,0.0488281250001,-1.20247395833
18.6666666667,-298.96484375,131.375,-0.0918334501959,-0.151995673668
19,-298.96484375,131.375,-0.249674479167,0.153971354167
19.3332682292,-298.96484375,131.375,-0.357747395833,0.140299479167
19.6666666667,-298.96484375,131.375,-1.90239615696,0.129252323518
20,-298.96484375,131.375,-6.81562270014,-0.420406872011
20.3332682292,-303.2578125,133.05859375,-11.8955078125,-5.85807291667
20.6666666667,-308.9140625,127.875,-11.1889558085,-11.7694670754
21,-312.265625,121.67578125,-5.93177617146,-7.99640889512
21.3332682292,-312.265625,121.67578125,-1.81901041667,-1.26920572917
21.6666666667,-312.265625,121.67578125,-1.02827811777,3.4779650656
22,-312.95703125,125.36328125,-0.749065642946,3.99501676238
22.3332682292,-312.95703125,125.36328125,-0.23046875,1.22916666667
22.6666666667,-312.95703125,125.36328125,-0.2890625,0.117838541667
23,-312.95703125,125.36328125,-0.925747348533,-0.757784749432
23.3332682292,-312.95703125,125.36328125,-3.0087890625,-2.462890625
23.6666666667,-315.734375,123.08984375,-3.00861956841,-2.462751883
24,-315.734375,123.08984375,-0.925747348533,-0.757784749432
24.3332682292,-315.734375,123.08984375,-0.2314453125,-0.189453125
24.6666666667,-315.734375,123.08984375,0,0
25,-315.734375,123.08984375,0.810546875,0.53515625
25.3332682292,-315.734375,123.08984375,3.2421875,2.140625
25.5666666667,-315.734375,123.08984375,10.5365157881,6.95663933961
26,-306.0078125,129.51171875,9.58601781793,6.32908164365
26.3332682292,-306.0078125,129.51171875,3.07253815407,2.02861555233
26.6666666667,-306.0078125,129.51171875,0.784424912579,0.517909460353
27,-306.0078125,129.51171875,4.29947916667,3.82259114583
27.3332682292,-306.0078125,129.51171875,16.3333333333,17.6051432292
27.6332682292,-306.0078125,129.51171875,52.897115338,59.6013808473
28,-254.4140625,175.3828125,45.0429554673,79.7586782714
28.3332682292,-264.7890625,203.16015625,12.0405591701,53.2041634476
28.6666666667,-259.203125,210.97265625,8.0898180955,20.8591350248
29,-259.203125,210.97265625,5.11507268051,3.04406983772
29.3332682292,-255.40234375,209.2421875,4.6099538937,-1.20617336663
29.6666666667,-255.40234375,209.2421875,1.31693736294,-0.599592242325
30,-255.40234375,209.2421875,0.316731770833,-0.144205729167
30.2666666667,-255.40234375,209.2421875,0,0
30.6666666667,-255.40234375,209.2421875,0,0
31,-255.40234375,209.2421875,0,0
31.2666666667,-255.40234375,209.2421875,0,0
31.6666666667,-255.40234375,209.2421875,0,0
32,-255.40234375,209.2421875,0,0
32.3332682292,-255.40234375,209.2421875,0,0
32.6666666667,-255.40234375,209.2421875,-0.139322916667,0.0540364583333
33,-255.40234375,209.2421875,-0.557271259033,0.216137918223
33.3332682292,-255.40234375,209.2421875,-1.81119791667,0.702473958333
33.6666666667,-257.07421875,209.890625,-1.81109588647,0.702434385873
34,-257.07421875,209.890625,-0.5596326644,0.217053790398
34.3332682292,-257.07421875,209.890625,-0.139322916667,0.0540364583333
34.6666666667,-257.07421875,209.890625,0,0
34.9666666667,-257.07421875,209.890625,0,0
35.3332682292,-257.07421875,209.890625,0,0
35.6332682292,-257.07421875,209.890625,0,0
36,-257.07421875,209.890625,0,0
36.3332682292,-257.07421875,209.890625,0,0
36.6666666667,-257.07421875,209.890625,0,0
36.9666666667,-257.07421875,209.890625,0,0
37.3332682292,-257.07421875,209.890625,0,0
37.6666666667,-257.07421875,209.890625,0,0
38,-257.07421875,209.890625,0,0
38.2332682292,-257.07421875,209.890625,0,0
38.6666666667,-257.07421875,209.890625,0.132161458333,-0.263020833333
38.9332682292,-257.07421875,209.890625,0.500967381029,-0.996999122837
39.3332682292,-257.07421875,209.890625,1.60560356485,-3.19538837536
39.6666666667,-255.48828125,206.734375,1.70829403568,-3.39975758824
40,-255.48828125,206.734375,0.526455731306,-1.04772470664
40.3,-255.48828125,206.734375,0.132161458333,-0.263020833333
40.6666666667,-255.48828125,206.734375,0,0
40.9666666667,-255.48828125,206.734375,0,0
41.3332682292,-255.48828125,206.734375,0,0
41.6666666667,-255.48828125,206.734375,0,0
41.9666666667,-255.48828125,206.734375,0,0
42.2666666667,-255.48828125,206.734375,0,0
42.6332682292,-255.48828125,206.734375,0,0
42.9,-255.48828125,206.734375,0,0
43.3332682292,-255.48828125,206.734375,0,0
43.6666666667,-255.48828125,206.734375,0.146639772036,-0.0361796817469
44,-255.48828125,206.734375,0.589232874226,-0.145378416567
44.3332682292,-255.48828125,206.734375,1.93815104167,-0.478190104167
44.6666666667,-253.69921875,206.29296875,1.94318284401,-0.479431575052
45,-253.69921875,206.29296875,0.625016443451,-0.154207113777
45.3332682292,-253.69921875,206.29296875,0.154224332424,-0.0380509815806
45.6,-253.69921875,206.29296875,0,0
45.9332682292,-253.69921875,206.29296875,0.0192002118644,-0.0192002118644
46.2666666667,-253.69921875,206.29296875,0.0741393546748,-0.0741393546748
46.6,-253.69921875,206.29296875,0.325085805492,-0.269957277266
46.9666666667,-253.47265625,206.06640625,0.58652735432,-0.368640146033
47.3332682292,-253.47265625,206.06640625,1.23840770153,-0.532235769922
47.6666666667,-252.34375,205.62109375,1.23126511298,-0.496753209399
48,-252.34375,205.62109375,0.379532286889,-0.149711697943
48.3332682292,-252.34375,205.62109375,0.0940755208333,-0.037109375
48.6666666667,-252.34375,205.62109375,0,0
48.9,-252.34375,205.62109375,0,0
49.3332682292,-252.34375,205.62109375,0,0
49.6666666667,-252.34375,205.62109375,0,0
50,-252.34375,205.62109375,0,0
50.3332682292,-252.34375,205.62109375,0,0
