"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,120.22265625,-291.125,146.973791695,72.7726917118
0.326106770833,171.3203125,-268.11328125,126.255269501,73.2244980646
0.659375,214.296875,-243.30078125,90.2411888528,71.2986178713
0.9927734375,245.73828125,-211.8203125,22.3545886285,48.1200558451
1.32610677083,221.87890625,-208.9140625,-26.1318778189,17.9591787246
1.659375,208.5859375,-207.3515625,-19.3893229167,7.109375
1.9927734375,208.125,-205.73828125,-4.30920789225,2.0347372843
2.32610677083,210.65625,-205.5078125,-1.80483347325,-7.13531600878
2.659375,210.65625,-205.5078125,-14.0595703125,-24.431640625
2.9927734375,209.06640625,-214.21484375,-34.75340355,-46.0102061263
3.32610677083,175.99609375,-276.0234375,-31.0061480459,42.1933322754
3.659375,150.56640625,-211.3125,51.4417317708,204.382161458
3.9927734375,283.2734375,-105.8671875,-47.7643463021,289.550691016
4.32610677083,147.29296875,-24.21875,-213.58600926,369.314127204
4.659375,47.78125,145.68359375,-144.172200521,403.251953125
4.9927734375,50.015625,311.53125,-55.4856316726,253.878565847
5.32610677083,34.23828125,323.11328125,-11.7010776831,75.6879446616
5.659375,43.1015625,319.01953125,15.5100911458,6.1630859375
5.9927734375,51.91015625,314.19921875,15.4855803633,-12.5273587288
6.32610677083,56.7265625,311.11328125,5.58896734859,-17.4092340892
6.659375,54.72265625,301.12109375,-3.62532552083,-16.728515625
6.9927734375,51.7734375,298.33203125,-5.40793794614,-11.3274854478
7.32610677083,49.9765625,293.9765625,-3.09675337452,-6.48102609679
7.659375,49.9765625,293.9765625,-0.8447265625,-1.68424479167
7.9927734375,49.9765625,293.9765625,-0.149739583333,-0.362955729167
8.32610677083,49.9765625,293.9765625,0,0
8.659375,49.9765625,293.9765625,-3.115234375,0.777018229167
8.9927734375,49.9765625,293.9765625,-17.6967454179,4.44152007659
9.32610677083,49.9765625,293.9765625,-59.7469578041,16.0999832494
9.659375,12.59375,303.30078125,-104.275390625,28.5133463542
9.9927734375,-50.23046875,319.30078125,-77.3563011684,19.5739395353
10.3261067708,-29.90234375,327.28125,-77.9851712868,-25.7780691496
10.659375,-59.828125,308.3046875,-182.853515625,-90.6217447917
10.9927734375,-166.44140625,270.07421875,-246.528051072,-159.686179993
11.3261067708,-262.37890625,183.2890625,-203.715409239,-173.072431058
11.659375,-316.3515625,138.73828125,-109.873046875,-135.271484375
11.9927734375,-326.3984375,93.75390625,-35.7162405882,-91.0599206019
12.3261067708,-325.4921875,76.171875,-6.30610567226,-41.6569940093
12.659375,-324.9765625,72.5703125,1.17122395833,-23.939453125
12.9927734375,-324.9765625,72.5703125,4.83871610222,-44.3808034075
13.3261067708,-324.9765625,72.5703125,14.965033479,-135.876779572
13.659375,-311.203125,-52.5703125,14.6715494792,-135.625651042
13.9927734375,-311.203125,-52.5703125,4.01543104496,-39.3420307592
14.3261067708,-311.203125,-52.5703125,2.39233329661,2.85895272634
14.659375,-314.19921875,-53.25,13.2545572917,40.6539713542
14.9927734375,-309.125,-22.0546875,40.2492031359,51.8479365393
15.3261067708,-275.53515625,21.453125,40.7645219882,-30.4029965969
15.659375,-277.85546875,-61.43359375,39.0022786458,-57.302734375
15.9927734375,-276.203125,-76.06640625,105.633277515,57.5645091428
16.3261067708,-217.46484375,5.484375,194.049578689,99.9564423042
16.659375,-115.140625,54.17578125,197.3828125,-22.4944661458
16.9927734375,-66.1953125,-31.65625,125.644918546,-115.821527938
17.3261067708,-31.59375,-40.69140625,38.0825296578,-162.601675415
17.659375,-4.515625,-103.2265625,-134.544921875,-273.048828125
17.9927734375,-159.19140625,-286.0546875,-197.852587906,-208.704587482
18.3261067708,-183.5,-280.8984375,-128.41670032,-41.6896813081
18.659375,-229.38671875,-266.4140625,-81.7623697917,13.8362630208
18.9927734375,-236.31640625,-260.01953125,-37.9368335051,29.2110072303
19.3261067708,-245.40625,-247.39453125,-28.6002903346,29.6382653083
19.659375,-251.671875,-241.08203125,-30.3313802083,31.7366536458
19.9927734375,-265.74609375,-226.13671875,-32.9222306541,33.5247311362
20.3261067708,-279.41796875,-216.51953125,-18.9360550838,31.3169370973
20.659375,-281,-207.39453125,0.8798828125,35.7682291667
20.9927734375,-274.90625,-198.76953125,8.16453331014,54.3588923078
21.3261067708,-265.640625,-167.21875,-11.1773962951,60.303974155
21.659375,-282.03515625,-148.3671875,-28.3603515625,32.9231770833
21.9927734375,-298.140625,-139.84375,-7.13613045918,-14.7986088415
22.3261067708,-297.9609375,-149.1796875,46.8603194567,-81.6297095486
22.659375,-259.66015625,-207.4609375,77.8440755208,-105.702473958
22.9927734375,-235.1640625,-248.30859375,70.0705372098,-49.3929192527
23.3261067708,-190.28125,-238.3515625,-3.22008929083,10.6076149045
23.659375,-236.65625,-229.11328125,-78.97265625,45.5390625
23.9927734375,-265.56640625,-214.7578125,-90.7263494774,89.2189177758
24.3261067708,-305.453125,-172.7734375,-71.2616917147,129.946286623
24.659375,-318.8984375,-99.94140625,-30.1949869792,94.0924479167
24.9927734375,-318.8984375,-99.94140625,-4.97055556605,46.3869568146
25.3261067708,-318.671875,-99.94140625,11.8560797894,84.6095787426
25.659375,-318.671875,-99.94140625,45.0979817708,261.602864583
25.9927734375,-287.59375,123.37890625,75.9865484852,310.501097017
26.3261067708,-259.12890625,172.61328125,84.7560454013,182.521876454
26.659375,-236.734375,211.74609375,106.050455729,122.150390625
26.9927734375,-188.71875,238.2109375,127.843577616,99.9041188539
27.3261067708,-149.21875,280.53125,145.719240027,84.3591031117
27.659375,-94.8828125,304.02734375,165.715494792,46.4990234375
27.9927734375,-33.796875,308.9609375,162.6050035,10.7475279059
28.3261067708,36.11328125,300.88671875,85.825833732,-14.0506291083
28.659375,38.55859375,325.83984375,-49.5091145833,-116.271158854
28.9927734375,20.33203125,259.51171875,-220.793547698,-307.256752388
29.3261067708,-116.19921875,93.5390625,-346.380523795,-415.929115644
29.659375,-299.75390625,-72.5859375,-223.9765625,-361.968424479
29.9927734375,-282.984375,-167.14453125,-41.0631844087,-234.03656844
30.3261067708,-274.81640625,-222.2109375,16.1523406782,-116.450188892
30.659375,-262.6484375,-226.4609375,32.3492838542,-55.109375
30.9927734375,-257.47265625,-242.38671875,42.4606842476,-47.1904913779
31.3261067708,-232.25,-260.5859375,47.4161981238,-39.6301325992
31.659375,-219.859375,-271.9921875,38.9485677083,-24.8763020833
31.9927734375,-211.89453125,-276.984375,45.1882961611,-10.1108192549
32.3261067708,-196.62890625,-279.734375,67.5850863135,5.12464508924
32.659375,-160.99609375,-265.34765625,73.634765625,-1.6171875
32.9927734375,-138.0390625,-279.7578125,52.2498541669,-12.1473350185
33.3261067708,-124.80859375,-280.53515625,24.5503469192,-5.51220301051
33.659375,-124.80859375,-280.53515625,5.00716145833,-4.93782552083
33.9927734375,-126.0234375,-283.67578125,-0.213467527901,-3.71235961344
34.3261067708,-126.0234375,-283.90234375,-0.404933087755,-1.29229320253
34.659375,-126.0234375,-283.90234375,-0.101236979167,-0.337239583333
34.9927734375,-126.0234375,-283.90234375,0,-0.0188802083333
35.3261067708,-126.0234375,-283.90234375,0,0
35.659375,-126.0234375,-283.90234375,0,0.0960286458333
35.9927734375,-126.0234375,-283.90234375,0,0.384128650716
36.3261067708,-126.0234375,-283.90234375,-0.435546875,2.05410680074
36.659375,-126.0234375,-282.75,-2.42740885417,6.046875
36.9927734375,-126.0234375,-282.75,-9.65245068639,18.2229621961
37.3261067708,-131.25,-273.08203125,-21.2278514722,35.1181253657
37.659375,-139.47265625,-254.171875,-34.8932291667,37.1526692708
37.9927734375,-154.46875,-241.42578125,-46.4919854312,19.9853243192
38.3261067708,-174.37109375,-243.6796875,-45.1999386989,8.26204019588
38.659375,-190.73046875,-239.03515625,-26.4514973958,4.82845052083
38.9927734375,-191.421875,-239.4921875,-8.24496324847,0.789795366015
39.3261067708,-191.421875,-239.4921875,-2.84218429864,-0.010750438811
39.659375,-192.57421875,-239.71875,-1.30598958333,-0.283528645833
39.9927734375,-192.57421875,-239.71875,-0.384128650716,-0.208010578291
40.3261067708,-192.57421875,-239.71875,-0.0960286458333,-0.548808718675
40.659375,-192.57421875,-239.71875,0,-1.72233072917
40.9927734375,-192.57421875,-241.30859375,-0.115234375,-1.70237693429
41.3261067708,-192.57421875,-241.30859375,-0.460920620789,-0.450504335573
41.659375,-192.57421875,-241.30859375,-1.498046875,0.125651041667
41.9927734375,-193.95703125,-241.0703125,-1.49796248554,0.258123479146
