"VideoAnalysis: Time (s)","VideoAnalysis: X","VideoAnalysis: Y","VideoAnalysis: X Velocity","VideoAnalysis: Y Velocity"
0,-202.30078125,-296.51171875,0,0
0.308984375,-202.30078125,-296.51171875,0,0
0.642317708333,-202.30078125,-296.51171875,0,0
0.975716145833,-202.30078125,-296.51171875,0.460671565558,0.0975384716776
1.308984375,-202.30078125,-296.51171875,1.82024584142,0.385402552976
1.64231770833,-202.30078125,-296.51171875,5.91568235814,1.25253360373
1.97571614583,-196.83984375,-295.35546875,6.5166015625,1.11490885417
2.308984375,-196.83984375,-295.35546875,4.22250161926,-0.165358527797
2.64231770833,-196.83984375,-295.35546875,8.26225548606,-1.69358405758
2.97571614583,-189.6328125,-297.0078125,8.08854166667,-1.94694010417
3.308984375,-189.6328125,-297.0078125,3.52591254547,-1.17834226501
3.64231770833,-189.6328125,-297.0078125,4.25239843755,-2.177293951
3.97571614583,-186.26171875,-298.890625,5.34830729167,-1.68587239583
4.308984375,-186.26171875,-298.890625,7.44502288325,0.928356569427
4.64231770833,-186.26171875,-298.890625,20.7197184994,4.91707918061
4.97571614583,-165.90625,-294.64453125,16.9957682292,6.0751953125
5.308984375,-171.46875,-292.95703125,3.91137347969,2.0966662481
5.64231770833,-168.55859375,-294.015625,2.99454616245,-0.230383546396
5.97571614583,-168.55859375,-294.015625,0.806640625,-0.130208333333
6.308984375,-168.55859375,-294.015625,1.44298989193,0.239896838457
6.64231770833,-168.55859375,-294.015625,4.03428541431,1.04746596781
6.97571614583,-164.95703125,-293.03125,4.43294270833,0.990885416667
7.308984375,-164.95703125,-293.03125,2.92713665822,0.0826564459238
7.64231770833,-163.36328125,-293.2578125,2.25673867507,-0.163397631811
7.97571614583,-163.36328125,-293.2578125,1.33658854167,-0.11328125
8.308984375,-163.36328125,-293.2578125,2.66392244171,-0.169916343959
8.64231770833,-160.6015625,-293.2578125,1.49373095309,-0.490857763622
8.97571614583,-161.984375,-293.7109375,-0.577473958333,-0.490885416667
9.308984375,-161.984375,-293.7109375,-0.230777391622,-0.151036135626
9.64231770833,-161.984375,-293.7109375,-0.115234375,-0.0377604166667
9.97571614583,-161.984375,-293.7109375,0,0
10.308984375,-161.984375,-293.7109375,0,0
10.6423177083,-161.984375,-293.7109375,0,0
10.9423177083,-161.984375,-293.7109375,0,0
